cc,ASN,AS Name,DNSSEC Validates,Uses Google PDNS,Samples
ZA,AS328146,Saint-ICT-AS,0.75,0.775,80
SN,AS328148,ADIE-AS,0.0806,0.747,1502
ZA,AS328157,VirtualComms,0,0,28
NG,AS328160,Dotmac-Tech,0.25,0.7586,116
ZA,AS328163,A2X,0,0,1
ZA,AS328164,Net-Hog-AS,0,0,43
ZA,AS328167,TWK-Communications,0,0,22
SZ,AS328169,SWAZI-MOBILE,0.0297,0.6313,2118
NG,AS328171,TREFOIL,0,0,14
ZA,AS328174,HomeFind24,0,0,5
ZA,AS328176,ITTX-Telecoms,0,0,43
ZA,AS328178,The-Computer-Hut-AS,0.9068,0.9627,161
ZA,AS328179,Singa-Tel-AS,0,0,27
RW,AS328180,Bank-Of-Kigali-AS,0.0361,0.8918,305
GH,AS328182,Digital-Arena,0.4177,0.8608,79
GH,AS328185,uniBank-Ghana-Limited,0.0048,0.9761,209
NG,AS328188,Covenant-University-AS,0.0154,0,259
NG,AS328189,ECOBANK-NIGERIA,0,0,20
KE,AS328190,Sense-Telecommunications,0,0,5
KE,AS328192,Kenya-Post-Office-Savings-Bank,0,0,
CI,AS328193,SOCIETE-NATIONALE-DE-DEVELOPPEMENT-INFORMATIQUE,0.2533,0.92,225
LR,AS328196,POWERNET,0.4538,0.8846,130
UG,AS328198,BLUECRANE,0.5926,0.6667,162
LY,AS328200,Al-Madar-Al-Jadeed,0.9754,0.0569,33400
NG,AS328203,Platinum-Index-AS,0.5872,0.7982,109
ZA,AS328204,WIFI-Wave-AS,0,0,30
GQ,AS328207,OFFICE-TECH,0.8125,0.95,80
GA,AS328208,GLOBALSAT,0,0,1
AO,AS328211,SETIC-FP-AS,0,0,1
GH,AS328212,The-University-Of-Cape-Coast-AS,0.7706,0.5505,109
GH,AS328213,IT-Consortium-Limited-AS,0,0,
ZA,AS328214,Bioniq-Ltd-AS,0,0,24
BF,AS328215,Universal-Communication-AS,0,0,10
ZA,AS328216,Firestream-AS,0.9846,0.9231,65
ZA,AS328220,Altech-Radio-AS,0.037,0.0912,351
NG,AS328221,CORALPAY,0,0,11
MZ,AS328223,VOIPTECH-LIMITADA-AS,0,0,11
KE,AS328225,Strathmore-University,0.0427,0.7134,164
BJ,AS328228,Benin-Telecoms-AS,0.9259,1,54
ZA,AS328229,Aeonova360-AS,0,0,10
ZW,AS328230,Hammer-and-Tongues-AS,0.0598,0.2735,117
ZA,AS328231,Zazu-Internet-AS,0,0,12
ZA,AS328232,HX-Systems-AS,0.2,0.1826,115
SL,AS328236,PCS-Holdings-Limited,0.0273,0.0929,183
ZA,AS328239,EvoNet-AS,0.8453,0.7708,349
