cc_dnssec,asn,name,dnssec_validates,uses_google_pdns,samples
BW,327757,ICT-DYNAMIX,0.9346,0.9907,107
MZ,327759,SGS-MCNET,0,0,1
BW,327760,ELECTRO-METIC,0.5432,0.8272,81
ZA,327761,Access-Point-Technologies,0.9634,0.5,82
NG,327763,Bowen-University,0.02,0.62,50
SO,327764,SomaliREN,0.5872,0.9725,109
SZ,327765,SwaziMTN-Ltd,0.0177,0.0843,1733
KE,327766,TECHPITCH-LTDKENYA,0,0,13
ZA,327767,ULTIMATE-LINUX,0,0,8
SO,327768,SOMCAST-NETWORKS,0.2705,0.6922,2248
GW,327769,MTN-Bissau,0.0164,0.0844,3295
ZW,327770,Telecel,0.006,0.0098,1324
TZ,327771,MILAN-CABLE,0.1321,0.7925,53
ZA,327772,FULLOUTPUT-1086cc,0,0,5
CI,327773,WEBB-FONTAINE,0.7037,0,54
TZ,327774,TANZANIA-POSTAL-BANK,0,0,4
BW,327776,Stature-PTY-LTD,0.0712,0.1269,1348
ZA,327777,LIQUIDCLOUD,0,0,21
ZA,327781,VANGIBUZZ,0.1757,0.1959,296
ZA,327782,METROFIBRE-NETWORX,0.8289,0.4502,1204
UG,327783,SMILE-COMMUNICATION,0.2763,0.9805,257
NG,327784,FIDELITY-BANK,0.0109,0.3443,183
SS,327786,TELECOM-4G,0.2402,0.6592,179
ZA,327787,AMPATH,0,0,17
ZA,327791,Centracom,0,0,33
TZ,327792,CSS-net,0.1235,0.9882,170
KE,327793,WORLD-VISION,0,0,9
ZA,327794,CLEAR-ACCESS,0.3202,0.2895,228
TZ,327795,Tanzania-e-Government-Agency,0.1506,0.4531,704
BI,327798,SETIC-BERNET,0,0,22
BI,327799,VIETTEL-BURUNDI,0.0197,0.1298,9829
NG,327803,COSCHARIS-TECHNOLOGIES,0.0261,0.291,268
ZA,327804,TRUSC,0.9786,0.1111,234
ZA,327805,Bundu-NetworX,0.3279,0.8689,61
AO,327806,CNTI-AS,0,0,6
ZA,327808,Tesuco-Telecommunications,0.7417,0.9833,120
SN,327809,ARC-Informatique,0.1053,0.2982,57
ZA,327811,COMAIR,0,0,10
ZA,327812,Metacom,0,0,10
ZA,327813,Web4Africa,0,0,2
NG,327813,Web4Africa,0,0.9697,99
GH,327814,Ecoband,0.2084,0.5732,806
ZA,327817,LADYSMITH-WIRELESS-SOLUTIONS,0.4364,0.0364,55
TZ,327819,AZAM-MEDIA,0.125,0.9625,240
CM,327820,SWECOM,0.8096,0.9073,1003
ZA,327822,Airpark-Beaufort-West,0,0,8
ZA,327824,Converged-Telecoms,0.2679,0.7143,56
ZA,327825,Neelana-Communications,0,0,4
